USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root           1  0.0  0.0 172404  9204 ?        Ss   ago24   0:21 /sbin/init splash
root        1560  3.4  0.7 666516 117328 tty2    Sl+  ago24 319:24 /usr/lib/xorg/Xorg vt2 -displayfd 3 -auth /run/user/1000/gdm/Xauthority -background none -noreset -keeptty -verbose 3
joaofro+    1567  0.0  0.0 240168  3252 ?        Ssl  ago24   0:00 /usr/libexec/gvfsd
joaofro+    1582  0.0  0.0 378352   228 ?        Sl   ago24   0:00 /usr/libexec/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
joaofro+    1588  0.0  0.0 314828  2268 ?        Ssl  ago24   0:00 /usr/libexec/gvfs-udisks2-volume-monitor
joaofro+    1595  0.0  0.0 317060   768 ?        Ssl  ago24   0:16 /usr/libexec/gvfs-afc-volume-monitor
joaofro+    1600  0.0  0.0 236212  1820 ?        Ssl  ago24   0:00 /usr/libexec/gvfs-goa-volume-monitor
joaofro+    1604  0.0  0.0 553920  2028 ?        Sl   ago24   0:00 /usr/libexec/goa-daemon
root        1607  0.0  0.0 255408  6372 ?        Ssl  ago24   4:37 /usr/lib/upower/upowerd
eset-ee+    1609  0.0  0.9 1192016 147352 ?      Sl   ago24   0:05 /opt/eset/eea/lib/scand
joaofro+    1616  0.0  0.0 315360   232 ?        Sl   ago24   0:04 /usr/libexec/goa-identity-service
joaofro+    1623  0.0  0.0 236008   408 ?        Ssl  ago24   0:00 /usr/libexec/gvfs-mtp-volume-monitor
eset-ee+    1625  0.0  0.0  30392  5240 ?        S    ago24   0:03 /opt/eset/eea/lib/licensed
joaofro+    1630  0.0  0.0 238416  1024 ?        Ssl  ago24   0:00 /usr/libexec/gvfs-gphoto2-volume-monitor
root        1657  0.0  0.0  29212  2720 ?        S    ago24   0:00 /opt/eset/eea/lib/utild
eset-ee+    1659  0.0  0.0 332380  6240 ?        Sl   ago24   0:19 /opt/eset/eea/lib/confd
root        1704  0.0  0.0      0     0 ?        S<   ago24   0:00 [krfcommd]
root        1716  0.0  0.0 619520  1784 ?        S<l  ago24   2:58 /opt/eset/eea/lib/oaeventd
root        1879  0.0  0.0 4112656 14460 ?       Ssl  ago24   1:05 dockerd --group docker --exec-root=/run/snap.docker --data-root=/var/snap/docker/common/var-lib-docker --pidfile=/run/snap.docker/docker.pid --config-file=/var/snap/docker/2893/config/daemon.json
root        1982  0.0  0.0 1725688 13916 ?       Ssl  ago24   5:47 containerd --config /run/snap.docker/containerd/containerd.toml --log-level error
kernoops    2180  0.0  0.0  11268   436 ?        Ss   ago24   0:15 /usr/sbin/kerneloops --test
kernoops    2203  0.0  0.0  11268   372 ?        Ss   ago24   0:15 /usr/sbin/kerneloops
root        2314  0.0  0.0   2496    68 ?        S    ago24   0:00 bpfilter_umh
joaofro+    2739  0.0  0.0 188524  2556 tty2     Sl+  ago24   0:00 /usr/libexec/gnome-session-binary --systemd --systemd --session=ubuntu
joaofro+    2800  0.0  0.0   6040   440 ?        Ss   ago24   0:01 /usr/bin/ssh-agent /usr/bin/im-launch env GNOME_SHELL_SESSION_MODE=ubuntu /usr/bin/gnome-session --systemd --session=ubuntu
joaofro+    2811  0.0  0.0 305484  1228 ?        Ssl  ago24   0:00 /usr/libexec/at-spi-bus-launcher
joaofro+    2816  0.0  0.0  14508  7580 ?        S    ago24   0:42 /usr/bin/dbus-daemon --config-file=/usr/share/defaults/at-spi2/accessibility.conf --nofork --print-address 3
joaofro+    2824  0.0  0.0  90256   140 ?        Ssl  ago24   0:00 /usr/libexec/gnome-session-ctl --monitor
joaofro+    2831  0.0  0.0 625248  2168 ?        Ssl  ago24   0:03 /usr/libexec/gnome-session-binary --systemd-service --session=ubuntu
joaofro+    2845  3.9 36.0 10798200 5801324 ?    Ssl  ago24 362:37 /usr/bin/gnome-shell
joaofro+    2872  0.0  0.0 385400  2900 ?        Sl   ago24   0:00 ibus-daemon --panel disable --xim
